iyear,imonth,iday,provstate,city,latitude,longitude,summary,attacktype1_txt,targtype1_txt,corp1,target1,natlty1_txt,gname,weapsubtype1_txt,nkill,nwound
2003,6,8,Balochistan,Quetta,30.182125,67.000517,06/08/2003: Two gunmen suspected of being members of Lashkar-e Jhangvi killed 11 Pakistani police officer trainees and injured nine others. The two perpetrators fired a Kalashnikov rifle at the vehicle carrying the trainees while riding on a motorcycle. No group claimed responsibility for the shooting.,Armed Assault,Police,Pakistani Police,A vehicle carrying police recruits to their school in Quetta,Pakistan,Lashkar-e-Jhangvi,Automatic Weapon,11,9
2003,7,4,Balochistan,Quetta,30.182125,67.000517,"07/04/2003: Three men attacked a Muslim Shia mosque in Quetta, Pakistan. The men fired guns and threw grenades at the worshipers in the mosque before at least one of the men set off a suicide-bomb. The other attackers were over-taken by the worshipers and was killed. The attack lasted approximately ten minutes. Initially 48 were killed and at least 65 were injured, but the death toll rose to at least 53 in the days following the blast.",Bombing/Explosion,Religious Figures/Institutions,Quetta Mosque of Pakistan,"Shia worshipers and religious members at the Mosque in Quetta, Pakistan.",Pakistan,Lashkar-e-Jhangvi,Suicide (carried bodily by human being),53,53
2003,10,3,Sindh,Karachi,24.893379,67.028061,"10/03/2003: Two masked gunmen riding on a motorcycle attacked a minibus carrying Shiäó»i Muslim workers in Karachi, Pakistan.  Six men were killed and six injured in the attack. An alliance of three banned militant organizations, Lashkar-e Jhangvi, Harakat ul-Mujahidin (HuM), and Harkatul Jihad-e-Islami, was suspected in the attack, though none of the groups made a claim of responsibility.",Armed Assault,Private Citizens & Property,Civilians,Shi'i Muslims traveling to mosque on a bus in Karachi,Pakistan,Lashkar-e-Jhangvi,Unknown Gun Type,6,6
2003,10,6,Islamabad Capital Territory,Tarnol,33.648363,72.906999,"10/06/2003: The motorcade of Pakistani politician and former militia leader, Azam Tariq, was ambushed by armed gunman at the Ghorala Crossing near Tarnol, Pakistan.  Tariq and four others riding in his vehicle were killed. A previously unknown group, Fedayeen Imam Mahdi, claimed responsibility for the attack, though Pakistani government authorities did not take the claim seriously.",Assassination,Government (General),Pakistani Parliament,"Pakistan Parliament Member, Azam Tariq",Pakistan,Fedayeen Imam Mahdi,Unknown Gun Type,5,0
2003,12,25,Punjab,Rawalpindi,33.600399,73.043426,"12/25/2003: Three suicide bombers attempted to ram Pakistani President Perves Musharraf's motorcade with vehicles loaded with 45-60 pounds of explosives, in Rawalpindi, Pakistan, killing fifteen and injuring forty-six bystanders, but missing the President. Pakistani authorities blamed foreign actors affiliated with Al-Qa'ida.",Assassination,Government (General),President of Pakistan,President Pervez Musharraf,Pakistan,Al-Qaida,Vehicle,15,46
2004,3,2,Balochistan,Quetta,30.182125,67.000517,"03/02/2004: Unknown Sunni militant gunmen perched themselves on porches overlooking a crowd of Shi'ite pilgrims in Quetta, Pakistan and open fired. The attacks killed at least 44 and injured at least 130 people.",Armed Assault,Private Citizens & Property,Shi'ite Civilians,"Indiscriminate Shi'ites pilgrims in Quetta, Pakistan.",Pakistan,Unknown,Automatic Weapon,44,130
2004,3,22,Federally Administered Tribal Areas,Sarwakai,32.315566,70.154515,"03/22/2004: Eight Pakistani soldiers were taken hostage by tribal militants in an ambush while on patrol in Serwakai, South Waziristan, Pakistan. The soldiers were killed on March 26, 2004, by the perpetrators.",Armed Assault,Military,Pakistan Military,"Pakistani soldiers on patrol in Serwakai, Pakistan.",Pakistan,Tribesmen,Unknown Gun Type,8,0
2004,4,4,Sindh,Karachi,24.893379,67.028061,"04/04/2004: Ten members of Lashkar-e-Jhangvi (LeJ) and Jamat-e-Islami raided a small police station in the Pakistan city of Karachi. Afterwards, the gunmen made police officers recite verses of the Koran before killing five police officers and injuring one.",Armed Assault,Police,Pakistan Police,Pakistan Police Officers in Karachi,Pakistan,Lashkar-e-Jhangvi,Unknown Gun Type,5,1
2004,4,15,Balochistan,Quetta,30.182125,67.000517,"04/15/2004: A police convoy was ambushed by Taliban militants, using AK-47's and machine guns. Police Chief Yar Mohammed was being escorted to his hometown by at least nine other soldiers at the time of the attack. All of the soldiers and the police chief were killed, along with one Taliban militant.",Armed Assault,Police,Pakistan Police,Police convoy,Pakistan,Taliban (Pakistan),Automatic Weapon,11,0
2004,5,7,Sindh,Karachi,24.893379,67.028061,"05/07/2004: A suicide bomber killed at least 18 and wounded at least 100 others outside of a Shiite mosque in Karachi, Pakistan. Police suspected that Lashkar-e-Jhanvi (LJ) could have masterminded the attack.",Bombing/Explosion,Religious Figures/Institutions,Hydary Shi'a Mosque,"The Sindh Madrassah tul Islam School in Kashmir, Pakistan",Pakistan,Lashkar-e-Jhangvi,Suicide (carried bodily by human being),18,100
2004,6,10,Federally Administered Tribal Areas,Wana,32.301964,69.590665,06/10/2004: A fierce gun battle between Pakistani security forces and Al-Qa ida-linked fighters near the Afghan border left at least 24 people dead. There were no reports of injuries from the attack.,Armed Assault,Military,Pakistani Law Enforcement,Pakistani Police,Pakistan,Al-Qaida,Unknown Gun Type,24,
2004,6,10,Sindh,Karachi,24.893379,67.028061,"06/10/2004: Nine people died in a bomb blast in Clifton area of Karachi. A jeep belonging to a law enforcement agency was heading towards Saddar from Teen Talwar area and crossed over the Clifton Bridge, which then exploded. No group claimed responsibility for the attack.",Bombing/Explosion,Police,Pakistani Law Enforcement,Pakistani Police Convoy,Pakistan,Unknown,Remote Trigger,9,14
2004,6,11,Sindh,Karachi,24.893379,67.028061,"06/11/2004: Unidentified attackers with assault rifles and bombs ambushed the motorcade of Karachi's top general, killing 10 people but missing their prime target. No group claimed responsibility for the attack.",Bombing/Explosion,Military,Pakistani Army,Lt. Gen. Ahsan Saleem Hayat,Pakistan,Unknown,Unknown Explosive Type,10,
2004,7,30,Punjab,Fateh Jang,33.565614,72.643393,"07/30/2004: Nine people, including one suicide bomber, were killed when the bomb carried by a suicide bomber exploded near the motorcade of Finance Minister Shaukat Aziz in Fateh Jang, Pakistan. The attack injured at least 50 people and responsibility was claimed by the al-Islambouli Brigades of al-Qa ida. Finance Minister Shaukat Aziz escaped unharmed from the explosion.",Bombing/Explosion,Government (General),Government of Pakistan,Finance Minister Shaukat Aziz,Pakistan,Islambouli Brigades of al-Qaida,Suicide (carried bodily by human being),9,50
2004,9,27,Unknown,Sarvakai,,,"09/27/2004: Two remote control devices exploded, killing five Pakistani soldiers and wounding several more in Sarvakai, Pakistan.",Bombing/Explosion,Military,Pakistani Military,"Pakistani Soldiers in Sarvakai, Pakistan",Pakistan,Unknown,Remote Trigger,5,
2004,10,1,Punjab,Sialkot,32.493537,74.530343,"10/01/2004: A suitcase bomb exploded in the Zainabia mosque in the city of Sialkot, resulting in over 20 deaths. A second suitcase bomb was discovered outside the mosque, but was defused. There were over 1000 worshippers present at the Shiite mosque when the blast occurred.",Bombing/Explosion,Religious Figures/Institutions,Worshippers at the Shiite mosque,Zainabia Mosque,Pakistan,Unknown,Suicide (carried bodily by human being),31,51
2004,10,7,Punjab,Multan,30.197843,71.467629,"10/07/2004: In the early morning hours, a car bomb exploded in the main square of the city of Multan, disrupting a gathering of 2000 Sunnis commemorating the one year-anniversary of the death of an extremist Sunni leader of the outlawed group Sipah-e-Sahaba. Forty-one were killed and over 100 were wounded.",Bombing/Explosion,Private Citizens & Property,Town Square in Pakistan,Rasheedabad Square in Multan,Pakistan,Sipah-I-Mohammed,Vehicle,41,100
2004,10,26,Federally Administered Tribal Areas,South Waziristan district,32.329315,69.856396,"10/26/2004: At least 14 tribesmen died and six were injured when a torrent of mortars (or possibly rockets) hit the small Pakistani village of Sheikh Ziyarat, located near the Afghan border. About 300 people had gathered to discuss how to evict foreign militants from their areas.",Bombing/Explosion,Private Citizens & Property,Civilians,Tribal gathering in Sheikh Ziyarat,Pakistan,Unknown,"Projectile (rockets, mortars, RPGs, etc.)",14,6
2004,12,10,Balochistan,Quetta,30.182125,67.000517,"12/10/2004: Members of the Baluchistan National Army, led by Mir Azad Baluch detonated an explosive that resulted in eleven fatalities and twenty injuries in an outdoor market in Quetta, Pakistan.",Bombing/Explosion,Military,Pakistani Army,Army truck with soldiers,Pakistan,Balochistan National Army,Unknown Explosive Type,11,20
2005,1,8,Gilgit-Baltistan,Gilgit,35.918091,74.289803,"01/08/2005: Unknown perpetrators shot Syed Agha Ziauddin Rizvi, a religious leader, in Gilget, Pakistan. Agha Ziauddin Rizvi died from his injuries five days later. Three of Ziauddinäó»s bodyguards were also killed after being shot in the attack. One of the attackers was also killed. No group claimed responsibility for the assassination attempt.",Assassination,Religious Figures/Institutions,Shi i Isam,"Syed Agha Ziauddin Rizvi, Shi i Islam Cleric",Pakistan,Unknown,Unknown Gun Type,5,0
2005,3,19,Punjab,Fatehpur,31.177809,71.209295,"03/19/2005: An unknown suicide bomber blew himself up at the Shrine of Saint Cheese Shah where a memorial service was being held in Fatehpur, Pakistan.  Exploding in a crowd of pilgrims, the bomb killed 50 and injured about 40 others. No group claimed responsibility for the attack.",Bombing/Explosion,Religious Figures/Institutions,Sufism,Shrine of Saint Cheesal Shah,Pakistan,Unknown,Suicide (carried bodily by human being),51,
2005,5,27,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"05/27/2005: An unidentified suicide bomber blew himself up at the Bari Imam Shrine in Islamabad, Pakistan killing 20 people and injuring 100 others. No group claimed responsibility for the attack.",Bombing/Explosion,Religious Figures/Institutions,Shi i Isam,The Bari Imam Shrine in Islamabad,Pakistan,Unknown,Suicide (carried bodily by human being),20,100
2005,5,30,Sindh,Karachi,24.893379,67.028061,"05/30/2005: A suicide bomber detonated explosives inside a Shi i mosque in Karachi, Pakistan, killing 2 people, including a policeman and a worshipper, and injuring 23 others. Two other assailants were killed by police guards before they could detonate their explosive belts. No group claimed responsibility for the attack.",Bombing/Explosion,Religious Figures/Institutions,Shi i mosque,Occupants of a Shi i mosque,Pakistan,Unknown,Suicide (carried bodily by human being),5,23
2005,9,22,Punjab,Lahore,31.554606,74.357158,"09/22/2005: Unidentified perpetrators set off two bombs in Lahore, Pakistan killing six people and injuring 40 others. One bomb exploded near the Minar-e-Pakistan monument while the other blew up in the cityäó»s Achra Market. No group claimed responsibility for the bombing.",Bombing/Explosion,Private Citizens & Property,Unknown,Unknown,Pakistan,Unknown,Remote Trigger,6,40
2005,10,7,Punjab,Mong,32.646737,73.508827,"10/07/2005: in the village of Mong, Punjab Province Pakistan, two armed unidentified assailants armed with assault rifles opened fire in an Ahmadi Mosque. Killing eight and wounding fourteen. No group claimed responsibility for the attack. There was no mention of property damage caused by the attack.",Armed Assault,Religious Figures/Institutions,Ahmadi Religious Sect,Mosque,Pakistan,Unknown,Automatic Weapon,8,14
2005,11,5,Federally Administered Tribal Areas,Musaki,32.824731,70.067644,"11/05/2005: Eight people including a woman and three children were killed in a bomb explosion in Mosaki, Pakistan. The bomb exploded in a house where suspected, foreign Al-Qa ida members were building bomb detonators. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Civilan(s),Mosaki civilians,,Al-Qaida,Unknown Explosive Type,8,
2006,1,6,North-West Frontier Province,Tank,32.216056,70.382902,"01/06/2006: Unknown gunmen shot dead a pro-government tribal chief and his four members of his family in Tank, South Waziristan, Pakistan, when the chief, Eisa Khan, vehicle was ambushed on his way home. No group claimed responsibility",Armed Assault,Government (General),Pro-government tribal chief and family,Eisa Khan and family,Pakistan,Unknown,Unknown Gun Type,5,0
2006,1,25,Balochistan,Bekar,28.818487,66.202617,"01/25/2006: At least six people were killed and five were seriously wounded when a landmine planted by suspected tribal rebels exploded beneath a minibus in Balochistan, Pakistan. The van was entering Bekar when it hit the mine, and there have been no claims of responsibility for the attack.",Bombing/Explosion,Transportation,Unknown,Civilians,Pakistan,Unknown,Land Mine,6,5
2006,2,4,Balochistan,Sui,28.630806,69.186259,"02/04/2006: Suspected Balochistan Liberation Army militants fired at least 60 rockets into the town of Sui in the Balochistan Province of Pakistan, killing two security officers, four civilians, and injuring 15 to 20 others. The attack also damaged government buildings and 16 homes and disrupted the town's water and power supply.",Bombing/Explosion,Private Citizens & Property,Civilians,"Civilians in Sui, Pakistan",Pakistan,Baloch Liberation Army (BLA),"Projectile (rockets, mortars, RPGs, etc.)",6,15
2006,2,5,Balochistan,Kolpur,29.902921,67.133212,"02/05/2006: A powerful bomb exploded on a bus filled with about 50 passengers in Kolpur of the Balochistan Province, Pakistan, killing at least 13 people and injuring 20 others. The bomb was detonated by a timer and placed under a seat in the back of the bus, which was traveling from Quetta to Lahore. The provincial police chief blamed the Balochistan Liberation Army for the attack.",Bombing/Explosion,Transportation,Pakistani passenger bus,"Passenger bus traveling from Quetta to Lahore, Pakistan",Pakistan,Baloch Liberation Army (BLA),Time Fuse,13,20
2006,2,9,North-West Frontier Province,Hangu,33.533541,71.057467,"02/09/2006: At least 31 people were killed and more than 50 were injured in a suicide bomb attack and ensuing riots in the town of Hangu in the North-West Frontier Province of Pakistan. The suicide bomber blew himself up during the Ashura procession, the holiest day and festival for Shi i Muslims. The attack triggered a riot, in which worshippers torched cars and shops and exchanged gunfire with police. A private television channel, GEO, said it had received calls claiming responsibility by banned militant outfits.",Bombing/Explosion,Private Citizens & Property,Ashura festival,"Ashura festival procession in Hangu, Pakistan",Pakistan,Unknown,Suicide (carried bodily by human being),31,50
2006,3,2,Sindh,Karachi,24.893379,67.028061,"03/02/2006: An unidentified driver detonated a car bomb while driving past the U.S. Consulate in Karachi, Pakistan killing a himself, a U.S. Consulate worker and at least three others. There was no responsibility immediately taken for the attack.",Bombing/Explosion,Government (Diplomatic),U.S. Consulate,Unknown,United States,Unknown,Vehicle,5,50
2006,3,10,Balochistan,Dera Bugti,29.033333,69.15,"03/10/2006: In Dera Bugti, Balochistan, Pakistan, a vehicle carrying a wedding party ran over a landmine. Overall, 28 civilians were killed, seven others were wounded, and the vehicle was damaged. No claim of responsibility was reported.",Bombing/Explosion,Private Citizens & Property,Civilians,Pakistani Civilians,Pakistan,Unknown,Land Mine,28,7
2006,3,19,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"03/19/2006: Suspected pro-Taliban militants planted a roadside bomb in Dera Ismail Khan, Pakistan that killed seven. Three police men, three paramilitary soldiers, and one civilian bystander were killed, while four others were injured.",Bombing/Explosion,Police,Police,Unknown,Pakistan,Unknown,Unknown Explosive Type,7,4
2006,4,2,Balochistan,Bolan District,29.10636,67.687177,"04/02/2006: A pickup owned by the Pakistan Petroleum Limited (PPL) hit a landmine in a Sunni area of (District) Bolan, Pakistan. The explosion killed the seven levy personnel and a private guard it was carrying. There was no claim of responsibility.",Bombing/Explosion,Utilities,Petroleum Industry of Pakistan,Pakistan Petroleum Limited,Pakistan,Baloch Liberation Army (BLA),Land Mine,8,2
2006,4,3,Federally Administered Tribal Areas,North Waziristan district,32.94756,70.012672,"04/03/2006: Five tribesman were killed and three other injured when their pick-up truck hit a land mine in Baigan, Pakistan. There was no claim of responsibility.",Bombing/Explosion,Private Citizens & Property,Unknown,Passenger pick-up truck in Baigan village,Pakistan,Unknown,Land Mine,5,3
2006,4,3,Federally Administered Tribal Areas,Miran Shah,32.998617,70.067081,"04/03/2006: A remote-detonated bomb exploded under a minibus in Data Khel village outside Miranshah in North Waziristan, Pakistan killing five people and injuring three others. There was no claim of responsibility.",Bombing/Explosion,Transportation,Bus transport system in North Waziristan Agency,A minibus in Data Khel village in North Waziristan,Pakistan,Unknown,Remote Trigger,5,3
2006,4,11,Sindh,Karachi,24.893379,67.028061,"04/11/2006: A suicide bomber climbed onto the stage at a religious ceremony organized by Sunni Jamaat-e-Ahle Sunnat commemorating the anniversary of the Prophet Muhammad's birth in the Nishtar Park area of Karachi, Pakistan and detonated, killing 57 people and injured up to 125 others. Authorities later indentified the head of the suicide bomber at the scene. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Religious Freedom in Pakistan,Religious ceremony in Nishtar Park area for Muhammad's birth,Pakistan,Lashkar-e-Jhangvi,Suicide (carried bodily by human being),57,125
2006,4,20,Federally Administered Tribal Areas,Sarobi,32.876494,70.114837,"04/20/2006: Pakistani paramilitary soldiers were mounting routine security positions in Pakistanäó»s North Waziristan region, when they were attacked by suspected Pakistani Taliban militants. Seven soldiers were killed and 22 others wounded. Between four and six militants were killed during the retaliatory fire.",Armed Assault,Military,Pakistani soldiers,Paramilitary soldiers in Pakistan's North Waziristan.,Pakistan,Taliban (Pakistan),Unknown Gun Type,10,22
2006,5,11,Balochistan,Quetta,30.182125,67.000517,"05/11/2006: Six police officers killed when five landmines outside of a police training facility exploded in Balochistan province, Pakistan. The Balochistan Liberation Army claimed responsibility.",Bombing/Explosion,Police,Pakistani Police,Pakistani police at police training facility,Pakistan,Baloch Liberation Army (BLA),Land Mine,6,7
2006,6,12,Balochistan,Quetta,30.182125,67.000517,06/12/2006: Five killed and seventeen injured in explosion in Pakistani city of Quetta. No one claimed responsibility.,Bombing/Explosion,Private Citizens & Property,Unknown,Unknown,Pakistan,Unknown,Unknown Explosive Type,5,17
2006,7,3,North-West Frontier Province,Timergara,34.82702,71.84187,07/03/2006: Pakistani paramilitary forces were targeted by a roadside bomb in the Dir region of the North West Frontier Province. There were five fatalities and seven injuries. The perpetrator group is unknown.  No group claimed responsibility for the attack.,Bombing/Explosion,Military,Pakistani ParaMilitary Forces,Pakistani paramilitary vehicle,Pakistan,Unknown,Land Mine,5,7
2006,10,14,Balochistan,Khuzdar district,27.81872,66.659656,"10/14/2006: Unknown armed assailants opened fire at a mosque during Taravih in Zehri tehsil of Khuzdar district, Pakistan. 6 people were killed and several others were injured. No group claimed responsibility for the attack.",Armed Assault,Religious Figures/Institutions,A mosque,A mosque,Pakistan,Unknown,Unknown Gun Type,6,
2006,10,20,North-West Frontier Province,Peshawar,34.009667,71.579994,"10/20/2006: A bomb hidden in a fruit-cart killed 7 people and wounded 41 more in a Peshawar, Pakistan marketplace. The attack occurred 10 minutes before iftar, the time for breaking the daily fast during the holy Islamic month of Ramadan. No one claimed responsibility for the blast.",Bombing/Explosion,Private Citizens & Property,Peshawar marketplace,Unknown,Pakistan,Unknown,Unknown Explosive Type,7,41
2006,11,10,Federally Administered Tribal Areas,Malik Shahi,32.684554,70.009858,"11/10/2006: At least nine persons were killed while four others sustained serious injuries when their vehicle was blown up by an Explosive Improvised Device (EID) planted on the road near Malik Shahi, an area near Wana, North Waziristan, Pakistan. Al-Qa ida was reportedly responsible for the attack.",Bombing/Explosion,Private Citizens & Property,Citizens,Citizens,Pakistan,Al-Qaida,Remote Trigger,9,4
2007,1,12,Punjab,Lahore,31.554606,74.357158,"01/12/2007: Anwar Bhinder and six others were killed when 4 gunmen attacked the car of the senior judicial official in Lahore, Pakistan. One attacker of the unknown group was killed in the incident that may have stemmed from an old political rivalry.  No claim of responsibility was reported.",Armed Assault,Government (General),Pakistan Judicial system,Senior Judicial official Anwar Bhinder,Pakistan,Unknown,Unknown Gun Type,7,0
2007,1,27,North-West Frontier Province,Peshawar,34.009667,71.579994,"01/27/2007:  At least fourteen Pakistaniäó»s were killed, most of them policemen, and several others were wounded, when a suicide bomber detonated his explosives after being stopped by a police cordon near a Shiäó»i mosque in Peshawar, Pakistan.  A Shiäó»i procession was to come through within minutes.  No one or group has claimed responsibility for the attack.",Bombing/Explosion,Police,Police,Pakistani police,Pakistan,Unknown,Suicide (carried bodily by human being),15,
2007,2,9,Punjab,Attock,33.766336,72.357344,"02/09/2007: Gunmen kill six workers from the Pakistan People's Party in Attock, Pakistan. The perpetrators of this incident are unknown.  No claim of responsibility was reported.",Armed Assault,Private Citizens & Property,Pakistan People's Party,Activists,Pakistan,Unknown,Unknown Gun Type,6,2
2007,2,17,Balochistan,Quetta,30.182971,66.998734,"02/17/2007: A man blew himself up in a small district court room in the border town of Quetta of Baluchistan Province, Pakistan. Fifteen people were killed and 35 were wounded. No group claimed responsibility for the attack.",Bombing/Explosion,Government (General),A district courtroom,A district courtroom,Pakistan,Unknown,Suicide (carried bodily by human being),16,35
2007,3,6,Unknown,Unknown,,,"03/06/2007: Tribesman and Uzbek militants engaged in a gun battle in Pakistan, 15 people were killed.",Armed Assault,Terrorists/Non-State Militia,Unknown,Uzbek militants,Uzbekistan,Tribesmen,Unknown Gun Type,15,0
2007,4,6,Federally Administered Tribal Areas,Parachinar,33.896729,70.099832,"04/06/2007: Ten people were killed and 83 were injured when clashes broke out after gunmen opened fire on a group of Shi i Muslims near a mosque in Parachinar, Pakistan.  No group claimed responsibility for the initial shooting that sparked the clashes.",Armed Assault,Private Citizens & Property,Shi i Muslims,Shi i Muslims,Pakistan,Unknown,Automatic Weapon,10,83
2007,4,28,North-West Frontier Province,Charsadda,34.148181,71.730028,"04/28/2007: A suicide bomber attacked a public rally of Pakistan's Interior Minister Aftab Khan Sherpao in the city of Charsadda, in North West Frontier Province of Pakistan. Thirty people were killed and fifty were injured, including Sherpao. There was no immediate claim of responsibility for today's blast but Islamic militants had carried out such attacks in the past.",Bombing/Explosion,Government (General),Pakistan Interior Minister,Aftab Khan Sherpao,Pakistan,Unknown,Suicide (carried bodily by human being),31,50
2007,5,15,North-West Frontier Province,Peshawar,34.009667,71.579994,"05/15/2007: A Suicide bomber blew himself up in the Marhaba Hotel restaurant in Peshawar, Pakistan, killing 25 people and injuring dozens more.  Among the many killed was the hotel owner, Sadruddin, and his three sons.  According to reports, there was also a significant amount of damage to the hotel.  The bomber, a suspected pro-Taliban insurgent, had a message taped to his leg stating that this would happen to anyone helping the United States.  No claim of responsibility was reported.",Bombing/Explosion,Business,Unknown,Any Afghans helping the United States,Afghanistan,Taliban (Pakistan),Suicide (carried bodily by human being),25,
2007,5,31,North-West Frontier Province,Tank district,32.214179,70.38468,"05/31/2007: A rocket and grenade attack against Pir Attique Gilaniäó»s home, an influential tribal elder, killed 13 civilians near the Tank district of Afghanistan.  Gilani was not injured in the attack, but he lost six family members in the attack.  No one has claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,Unknown,"Pir Attique Gilaniäó»s home, an influential tribal elder",Pakistan,Unknown,"Projectile (rockets, mortars, RPGs, etc.)",13,0
2007,6,2,Khyber Pakhtunkhwa,Khwar Dara,34.87593,72.650226,"06/02/2007: Five people were killed when a roadside bomb planted by unknown perpetrators detonated near their vehicle at about 6:00 PM in Dara Khwar, Bajaur, Pakistan.  No claim of responsibility was reported.",Bombing/Explosion,Private Citizens & Property,Pakistan civilians,Unknown,Pakistan,Unknown,Unknown Explosive Type,5,0
2007,6,14,Balochistan,Quetta,30.182125,67.000517,"06/14/2007: Seven Pakistan Army soldiers, one policeman, and one civilian were killed and five other persons were wounded when four unknown perpetrators fired on a van carrying troops near a railway station in Quetta, Balochistan Province, Pakistan.  No claim of responsibility was reported.",Armed Assault,Military,Pakistan Army,soldiers in Quetta,Pakistan,Unknown,Unknown Gun Type,9,5
